#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 6.24565874700078e-005 120.000000000001 -142.166502649851 2258.32052997253 -0.0272212654159911 0.0138674370987109 0.235217912180671 0.197258972778385 0.765915076391201 0.0327516819100302 4.40044197083287 4.40214592965404 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 5.81309391694024e-005 121 -153.088249973729 2264.31932311665 -0.0253237832089822 0.013463277149072 0.235957446022475 0.207549336236562 0.767917606892076 0.0750984225032471 3.22062381237502 3.22162035382221 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 6.43026772859245e-005 112.732002966028 -180.358533980844 2214.71306282775 -0.0377942998397094 0.0134558168109195 0.225908700956602 0.173413807030923 0.769189761066754 0.0686341216403415 3.13399504210987 3.13519099489541 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 6.01737286644525e-005 113.65791267745 -190.901251161646 2220.26736911962 -0.0349220695509284 0.0130895359127323 0.225991102793091 0.177604460803976 0.770065185328708 0.126038275385899 2.68205769802799 2.68221648069527 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 6.73983575069854e-005 109.12421684414 -192.923324225855 2193.0672097912 -0.0473509803430551 0.0134833369533268 0.222550850109841 0.168054268506392 0.771276027390495 0.0754489221838006 2.78336715482621 2.78451012520962 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 6.34474366902294e-005 110.006271453437 -202.811842221804 2198.35843514008 -0.0435592990059895 0.0131504512549983 0.222597426324792 0.171644948235772 0.772020947706187 0.133530264927466 3.05836235491659 3.05843928710327 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 7.8250840368018e-005 102.460965714234 -201.06444832371 2153.09073085449 -0.086954484560791 0.0139800254451994 0.21654742182944 0.158177061113139 0.775060380769882 0.15746853122779 4.88883617682032 4.88883669248277 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 7.45495509057188e-005 103.270613518313 -209.315348076611 2157.9475850192 -0.0781824142601488 0.0137082597886081 0.216659743475799 0.160897497122633 0.775510271183943 0.0685947387461949 2.93945930601665 2.94073553452732 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 9.51003933996894e-005 96.4508803813269 -187.692722159121 2117.03491988234 -0.262811400032629 0.0149044384260437 0.211242090609975 0.149255883509276 0.778495276779197 -0.0573410028154893 2.59597241102845 2.60466048746921 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 9.13432472633322e-005 97.201836206535 -194.433127824464 2121.53960658982 -0.211534911408644 0.0146673931874166 0.211461998254916 0.151396454269474 0.778692795374734 0.0262581787946953 2.79302017515914 2.79599600299258 1 9.13432472633322e-005 
