#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 3.67076885381674e-005 120 -337.392275769238 2307.93635719197 -0.0242347481235243 0.0103863206243651 0.200590202067127 0.138478783407929 0.786984521076239 0.234838051182819 2.85543989898651 2.85654958959081 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 3.71683948938544e-005 121.000000000001 -328.952882686923 2313.93648987541 -0.0234109009597407 0.0105138776765294 0.200698790496013 0.139577280239947 0.787071689144504 0.218471193574908 2.87105271896032 2.87174929909964 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 3.76286621276626e-005 112.847534575049 -374.643287851019 2265.02182988266 -0.0349537894155767 0.0100863868677814 0.192424498074157 0.113191475464755 0.791011554727436 0.28694079557498 2.63651766047625 2.63980585012402 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 3.80205095268249e-005 113.787457230391 -366.952519845331 2270.66147866677 -0.0332786983060838 0.0101934696559434 0.192449472335306 0.112923185737094 0.790948489376274 0.230580699605306 2.47537508848993 2.47652187495232 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 3.86929105619422e-005 109.295775711197 -389.408952490259 2243.7115832031 -0.0449131227956601 0.0100247457980923 0.190704262689643 0.11181287158328 0.792518448854478 0.268003065608449 2.07389509074898 2.07695935659493 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 3.89816658996636e-005 110.196279753813 -382.548865085953 2249.11469062033 -0.0422208411643253 0.0101130427155319 0.190794174836489 0.11168690574473 0.79241167202477 0.238333791986548 2.22251327044587 2.2240666862918 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 4.21048052142417e-005 102.698267276492 -408.011618249753 2204.12751522053 -0.0929982104139127 0.01008506818202 0.187828419802558 0.109570625557408 0.795053512731104 0.276633125225787 2.03476254758906 2.03838147073481 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 4.21060892731313e-005 103.530034756374 -403.202378154215 2209.11812046963 -0.0827268914800782 0.0101306958123369 0.188010054312762 0.109590630519446 0.794876369647073 0.240410330405689 1.89800198568978 1.89991273551316 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 4.68309806986127e-005 96.7155361487244 -414.843088604321 2168.23248959246 -0.918134443699316 0.0103033728504955 0.185601422566574 0.107701207820721 0.797004548119539 0.244919306001465 1.8418656477209 1.84404839261848 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 4.65175731857173e-005 97.489296209449 -412.1343922176 2172.87495969545 -0.439641492640445 0.0103105452157494 0.185797128714326 0.107820395391251 0.796826756301412 0.240813923712376 1.80057097822022 1.80260412663856 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 5.36784481552275e-005 90.3798545275339 -410.746793323799 2130.22037193595 0.125147924626209 0.0106772951759804 0.183454781612221 0.105960495128652 0.798898812960476 0.244393119164161 1.8286041844465 1.8307770362287 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 5.30224528422625e-005 91.0949626698659 -410.227326465865 2134.51083186329 0.142514424484525 0.0106503914017284 0.183669979978696 0.106078504894022 0.798701181096121 0.231788655310676 1.90463421453653 1.90617254623896 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 6.6490349937193e-005 82.0116714203564 -382.165577133348 2080.01496312059 0.0559609034445074 0.0114006387215202 0.180846261412546 0.103883652286538 0.801212437066034 0.127918328994396 1.58223863772878 1.58247422002079 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 6.53812857040178e-005 82.6520299584374 -384.368810211215 2083.85679493858 0.0581544212619896 0.0113404111951901 0.181089149756294 0.103916712257612 0.80097588807015 0.0916925426403893 1.7316624462502 1.7328274463952 1 4.65175731857173e-005 
